saved,borrowed,remittances,mobileowner,internetaccess,pay_utilities
NA/Other,Yes,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,NA/Other,No,Yes,Yes,NA/Other
Yes,NA/Other,NA/Other,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,No,Yes,NA/Other
Yes,NA/Other,No,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,No
Yes,Yes,No,Yes,Yes,Yes
NA/Other,Yes,No,No,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,No
NA/Other,NA/Other,Yes,Yes,No,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,NA/Other,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,No,Yes
Yes,NA/Other,No,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,No,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
NA/Other,NA/Other,Yes,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,No
NA/Other,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,No,No,No
NA/Other,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,NA/Other,No,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,Yes,No,Yes,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,No,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,No,Yes,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,No,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,No
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,NA/Other,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,No,Yes,No,Yes
Yes,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,No,Yes,No,Yes
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,No
Yes,Yes,Yes,No,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,Yes,Yes,No,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
NA/Other,NA/Other,No,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,No,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,No,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,NA/Other,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,No,No,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,NA/Other,Yes,Yes,No,NA/Other
Yes,NA/Other,Yes,Yes,No,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,No,Yes,No,Yes
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,Yes,NA/Other
Yes,NA/Other,NA/Other,Yes,No,No
Yes,NA/Other,NA/Other,Yes,No,Yes
NA/Other,NA/Other,NA/Other,No,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,No,Yes,Yes
Yes,Yes,Yes,No,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
NA/Other,NA/Other,Yes,Yes,No,Yes
Yes,Yes,No,Yes,No,Yes
Yes,Yes,Yes,Yes,No,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
NA/Other,NA/Other,NA/Other,No,No,Yes
NA/Other,Yes,NA/Other,Yes,No,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,No,Yes
Yes,Yes,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
Yes,NA/Other,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,No,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,NA/Other,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,Yes
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,No,Yes,NA/Other
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,No,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,NA/Other,No,No,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,NA/Other,No,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,No,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,Yes,Yes,Yes,NA/Other
Yes,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
NA/Other,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,No,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,No
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,NA/Other,Yes,Yes,Yes
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,NA/Other,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,Yes,No,Yes
Yes,NA/Other,No,Yes,No,Yes
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,NA/Other,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
Yes,NA/Other,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,NA/Other,No,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
NA/Other,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,NA/Other
Yes,NA/Other,Yes,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,NA/Other,No,Yes,Yes
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,No,Yes,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,No,Yes,No,NA/Other
Yes,NA/Other,No,Yes,No,NA/Other
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,No,Yes,No,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,Yes,No,Yes,No,NA/Other
Yes,Yes,Yes,No,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,NA/Other,Yes,Yes,No,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,Yes,NA/Other
Yes,Yes,Yes,No,Yes,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
Yes,NA/Other,Yes,Yes,No,Yes
Yes,Yes,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
NA/Other,Yes,NA/Other,No,No,NA/Other
Yes,Yes,Yes,No,Yes,NA/Other
NA/Other,NA/Other,NA/Other,Yes,Yes,NA/Other
Yes,Yes,NA/Other,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,No,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,NA/Other
NA/Other,NA/Other,Yes,Yes,No,NA/Other
Yes,Yes,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,Yes,NA/Other
Yes,Yes,No,Yes,Yes,NA/Other
Yes,NA/Other,Yes,Yes,Yes,Yes
NA/Other,Yes,NA/Other,Yes,No,NA/Other
Yes,Yes,Yes,No,Yes,NA/Other
Yes,NA/Other,NA/Other,Yes,No,NA/Other
NA/Other,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,No,Yes
Yes,NA/Other,NA/Other,No,No,NA/Other
NA/Other,Yes,NA/Other,Yes,No,NA/Other
NA/Other,NA/Other,NA/Other,No,No,NA/Other
